Case,PosErr_mm,OriErr_deg,Iterations,Converged,NumCFSol,CFBestPosErr_mm,CFBestOriErr_deg,MaxLimitViol_deg,qTrue1,qTrue2,qTrue3,qTrue4,qTrue5,qTrue6,qInit1,qInit2,qInit3,qInit4,qInit5,qInit6,qSol1,qSol2,qSol3,qSol4,qSol5,qSol6
16,2.11723316993428e-05,2.09130978915187e-06,23,1,2,7.3409570020002e-06,1.20741826972573e-06,0,0,0.749040977653657,-0.609878961619456,-0.984274280410237,-1.5524151439635,-0.0311348888920784,0,0.702769683759765,-0.58476191112612,-1.06762037218732,-1.59908365681319,0.0199981233328976,1.65843884841026e-08,0.749040963974377,-0.609878997329517,-0.9842742606619,-1.55241512380869,-0.0311348526926227
17,2.117864761827e-06,1.20741826972573e-06,29,1,2,2.27059068381797e-12,0,0,0,1.49431621628525,0.882031365034983,-0.689107878924435,-1.84102640793827,0.41982651378144,0,1.58608670772977,0.755002829386994,-0.780349962268787,-1.92418647469168,0.36273375416981,-1.58899094814892e-08,1.49431621286584,0.882031360961537,-0.689107899893216,-1.84102639881989,0.41982650372629
18,4.54664776950289e-07,0,29,1,2,2.38374992562561e-12,1.20741826972573e-06,0,0,-1.68663220798573,-0.359712752707331,0.644038357752483,-1.47498584338225,0.82797192061179,0,-1.80097272912784,-0.378313395081366,0.766183336553063,-1.5491402771118,0.945277145037174,1.7577148544251e-10,-1.68663220685678,-0.359712753307525,0.644038358541904,-1.47498584401216,0.827971920349108
19,3.74091765474515e-06,1.20741826972573e-06,31,1,2,3.20284687688954e-12,0,0,0,1.56499130939611,0.175570555468666,0.464300653297119,-0.0710954660128253,-0.728897814435722,0,1.52335370267667,0.235877916747567,0.583451770227759,0.0375348558984197,-0.726383436528529,-1.09621309328329e-08,1.56499131318599,0.175570546426762,0.464300747500058,-0.0710954607769391,-0.72889792097983
20,3.15630293910324e-07,0,31,1,4,2.54629989549142e-12,0,0,0,1.17448337756891,-1.22151917287897,0.635231002698063,0.256902482997309,-1.41869573372526,0,1.17284823397286,-1.29668126124769,0.666153984016309,0.126414641056387,-1.4660765,-4.05755289118347e-10,1.17448338495998,-1.22151918673725,0.635230991339507,0.256902488457335,-1.41869572455961
21,8.45659898010494e-06,1.20741826972573e-06,24,1,2,2.38970358238464e-12,0,0,0,-1.21296729752742,-0.688877370450356,-0.384201966754998,-1.73723544833857,-0.855606993909401,0,-1.13483961818587,-0.688225005616068,-0.446629826645156,-1.65953895172081,-0.945907155796119,1.9345314957124e-08,-1.21296727890703,-0.688877414225694,-0.384202000415179,-1.73723541657883,-0.855606996521596
22,2.46827785127194e-06,0,24,1,2,1.543369740282e-12,1.20741826972573e-06,0,0,-0.157142887185149,0.165959106489513,-0.657237177623758,-1.00444043740848,-0.654795133245521,0,-0.138824171881741,0.0431088951123113,-0.687146549593715,-1.04601230727203,-0.620803178479506,1.74685680845203e-09,-0.157142886697542,0.165959113827787,-0.657237172954412,-1.00444044204917,-0.654795142545182
23,26.6872085398854,0.0462983327477574,1500,0,0,NaN,NaN,5.67107255921766,0,1.09920206545397,1.32070888827785,-0.429219518869251,-1.11560444254227,1.23703602446461,0,1.20756030530274,1.24497041069984,-0.437282526762964,-1.16180761662891,1.22428002124158,-0.000783013455347654,1.19604696548943,1.22173000000001,2.71082386706647,1.11317162670739,4.37940259101652
24,4.96623800296479e-06,0,25,1,1,1.50956031587384e-12,0,0,0,-0.0644584322865545,-0.27595070291346,0.315346110808119,1.23128847579644,-0.111991557241557,0,-0.0259316515738738,-0.162216146886194,0.270298890040676,1.25939445493232,-0.0342495267475772,-1.96439418733613e-08,-0.0644584270690903,-0.275950712295015,0.31534612298499,1.23128848658534,-0.111991573043528
25,4.85294160151226e-06,0,25,1,2,6.36555273769735e-06,1.20741826972573e-06,0,0,-0.943497793891683,0.0243987202120517,-0.558212555380787,1.04026451709443,0.520894730673806,0,-0.84830386213182,-0.0467810770320083,-0.5358311148997,0.935958136590519,0.607765125923232,2.13565288410785e-08,-0.943497808216078,0.0243987467208983,-0.55821258779561,1.04026450837855,0.520894756750141
26,1.60125095256451e-05,1.20741826972573e-06,28,1,2,8.76533578011991e-06,0,0,0,1.30687820063282,0.850179087950536,-0.521592716080081,0.633693125023809,1.45727539824635,0,1.29756394592659,0.911831287966286,-0.459174043837685,0.746049909246993,1.43299083929904,-5.09175951987383e-08,1.30687821568211,0.850179033187545,-0.521592743431108,0.63369317809932,1.45727539004088
27,1.07971321304053e-05,1.20741826972573e-06,23,1,2,2.73945738597042e-12,0,0,0,1.68476076283178,0.203782408407855,-0.811249734218275,-1.93286157516731,0.607849507052285,0,1.71159568081465,0.27055837696892,-0.707874173505448,-1.954771,0.481404929962723,-4.28570273883208e-08,1.68476075649097,0.203782423639695,-0.811249776645335,-1.93286156708201,0.607849493225777
28,9.16249275077329e-06,1.20741826972573e-06,20,1,2,1.83023767644334e-12,1.70754729250319e-06,0,0,0.129473833063758,-0.0336373999816399,-0.70717142428446,1.8159020594533,1.31780541209497,0,0.0486937751666558,0.0259456003961641,-0.799376031211609,1.91245118792618,1.44684108401789,2.08502808570603e-08,0.129473811271594,-0.0336373793618056,-0.707171412954413,1.81590206673024,1.31780544215923
29,5.06828535566559e-07,0,27,1,2,2.23966170216766e-12,0,0,0,-1.16374083171983,0.00847331357239023,0.726293550567205,0.803115680791468,-0.946004266954912,0,-1.25027009238027,-0.0869045164853184,0.751006654492238,0.838224844685443,-1.05775784688245,-1.24252165224061e-09,-1.16374083384112,0.00847331632251599,0.726293549183009,0.803115678958837,-0.946004265690455
30,4.89852745512969e-06,0,26,1,1,2.16487095694669e-12,1.20741826972573e-06,0,0,-1.16885449374564,-0.199874497070996,-0.276893045864358,0.971181013288745,1.13797840561031,0,-1.17326746797045,-0.208362844154763,-0.401832365383444,0.913352879014701,1.02298526711673,-5.92612579010933e-09,-1.1688544809411,-0.199874502823298,-0.276893041074166,0.97118101092582,1.1379784077196
31,2.24642838108423e-06,1.20741826972573e-06,32,1,3,1.38492683809271e-12,0,0,0,-0.513282377241802,0.855514992162159,0.362142456862916,0.187589295970714,0.969230898997725,0,-0.641876275067156,0.815809244865613,0.403644105221745,0.142276731348175,1.07625848220276,-6.40313729809387e-09,-0.513282376535139,0.855514985369893,0.362142496331307,0.187589304166106,0.969230858948588
32,1.47702099494719e-06,1.70754729250319e-06,24,1,4,2.20059228400353e-12,0,0,0,1.10592450542064,-0.849318891036865,-0.819957323063303,-1.38295495527363,0.544756614140362,0,1.18170634898031,-0.718650797570602,-0.821950124059916,-1.33607714475402,0.527218415780502,-5.63648454733004e-10,1.10592450526172,-0.849318885273785,-0.819957319008845,-1.38295496713925,0.544756610091905
33,3.79037983810522e-06,1.20741826972573e-06,24,1,1,1.71637717043292e-12,0,0,0,0.643625910463305,-0.600614715823745,0.157892003403066,1.64907567608802,0.522131647069351,0,0.585146449100327,-0.494232352253,0.217202105265688,1.7680590305716,0.569066592987736,-7.75893172794195e-09,0.643625909629954,-0.600614709060633,0.157892005136475,1.64907567556277,0.522131625302814
34,1.00434303122717e-05,0,26,1,2,1.67479084395801e-12,0,0,0,-1.16275796338301,-0.000138148958529261,-1.06419399778058,1.674018068188,-1.11044408919741,0,-1.22249697458856,-0.0431599375853998,-1.14526595544549,1.60745459776078,-1.2129490453162,-5.0538414893697e-08,-1.16275797423893,-0.000138131758223791,-1.06419395574634,1.67401804776558,-1.11044409056653
35,1.19821617513343e-06,1.20741826972573e-06,24,1,2,2.42757200526211e-12,0,0,0,-1.41601723348915,-0.886893409958349,0.0246071495509177,-0.39634473728277,0.769723344349199,0,-1.51935581943751,-0.965325677571834,-0.0467620722549846,-0.473100685143374,0.768954014643468,7.90931228961276e-10,-1.4160172422593,-0.886893390994657,0.0246071305513201,-0.396344759467553,0.769723367367225
