Case,PosErr_mm,OriErr_deg,Iterations,Converged,NumCFSol,CFBestPosErr_mm,CFBestOriErr_deg
49,1.75490871209352e-05,0,24,1,3,1.39945638033037e-12,0
50,2.30610133636229e-06,1.20741826972573e-06,30,1,1,1.33306698884499e-12,0
51,1.66986931309411e-06,0,25,1,2,2.14518460956601e-12,0
52,2.03444326050533e-06,0,32,1,4,1.75493667188256e-12,0
53,4.07155734622346e-06,1.20741826972573e-06,34,1,4,1.83316279323013e-11,1.20741826972573e-06
54,1.50023929051118e-08,1.20741826972573e-06,42,1,8,7.53501259192947e-13,1.20741826972573e-06
55,3.1239928971794e-06,0,24,1,1,1.76679009898257e-12,0
56,1.25274362648356e-05,0,29,1,4,1.49843160585168e-12,0
57,3.75201829654974e-06,1.20741826972573e-06,29,1,4,7.07074650709466e-12,1.20741826972573e-06
58,5.85323148870752e-07,1.20741826972573e-06,33,1,3,2.13144930641455e-12,0
59,1.19232382139269e-05,0,29,1,2,2.12923439035902e-12,0
60,2.14212538574098e-05,1.20741826972573e-06,30,1,4,1.52756561908796e-12,0
61,1.54845391011282e-06,0,26,1,2,1.01319731968013e-12,0
62,6.5867578148117e-06,0,24,1,4,1.77462126806313e-12,0
63,1.60400172989856e-05,2.09130978915187e-06,23,1,4,1.40460764451511e-12,0
64,2.46916512942014e-08,0,50,1,5,7.35786597209266e-13,0
65,2.38337150749289e-06,0,32,1,2,1.65793104949454e-12,0
66,6.91560901511765e-06,1.20741826972573e-06,22,1,2,2.51295278400755e-12,0
67,1.56385162251247e-06,0,25,1,4,1.99087011769953e-12,0
68,5.78247964611134e-09,0,36,1,2,1.37834779031529e-10,0
69,3.65834942482071e-06,0,27,1,8,2.18494740123122e-12,0
70,2.65633384778592e-06,1.20741826972573e-06,25,1,4,2.13573698761967e-12,0
71,3.84772977086774e-06,0,28,1,8,2.47477380206758e-12,0
72,9.22786974814969e-07,1.20741826972573e-06,23,1,2,2.91895770335391e-12,1.20741826972573e-06
73,4.24622205153986e-07,0,25,1,2,2.86409307682091e-12,0
74,1.50304440871562e-08,0,59,1,2,2.7361775294773e-12,0
75,8.96728181616273e-07,0,33,1,4,2.00095371295456e-12,0
76,4.40038069185773e-06,0,34,1,3,2.05205102658755e-12,0
77,7.28605894454454e-06,0,24,1,2,1.6364024549835e-12,0
78,1.4267666157116e-06,0,26,1,2,2.54217436880042e-12,0
79,5.76891171851949e-06,0,29,1,8,2.22257006961734e-12,0
80,1.80870525901733e-07,0,34,1,8,2.42657247007677e-12,1.20741826972573e-06
81,7.04494725976264e-06,1.20741826972573e-06,27,1,2,1.90226963717271e-12,0
82,4.87002473951587e-06,0,29,1,2,1.38110137821998e-12,0
83,1.29995190126215e-06,0,26,1,8,2.28005760867669e-12,0
84,1.62034990633028e-05,0,25,1,4,1.62435341715112e-12,1.20741826972573e-06
85,3.87320111097672e-06,0,28,1,3,1.57523589990468e-12,0
86,1.18735735159612e-05,0,32,1,8,2.32087071343111e-12,1.70754729250319e-06
87,2.07356102246955e-06,0,27,1,4,2.2434099667518e-12,0
88,6.32656650034569e-06,0,27,1,2,1.97435615010052e-12,0
89,7.55371000348013e-07,1.70754729250319e-06,26,1,8,1.80752525782035e-12,0
90,7.3814791415475e-07,0,27,1,2,1.66631725695411e-12,1.20741826972573e-06
91,5.50636257134276e-07,0,24,1,8,2.3703407828329e-12,0
92,4.00824772995616e-06,0,22,1,2,2.40706619034346e-12,0
93,1.31169390239978e-06,0,35,1,4,3.10961558151155e-12,0
94,2.31855262459745e-06,0,24,1,4,2.28946698707208e-12,0
95,7.14187940184569e-07,0,31,1,8,2.12760563575296e-12,0
96,1.39111953018448e-05,0,27,1,2,2.65831189892113e-12,0
97,1.11959901403613e-06,0,36,1,4,2.75469718369917e-12,1.70754729250319e-06
98,1.22869340032638e-05,0,27,1,2,2.69800756444566e-12,0
99,5.84548237922405e-06,0,25,1,1,2.22962112755785e-12,0
100,1.63069122309872e-08,0,62,1,2,1.15595441430062e-10,0
